Variable,Region,Unit,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,2105,2110,2115,2120,2125,2130,2135,2140,2145,2150
regional_emissions,CAN,GtCO2/yr,0.511577,0.383683,0.255789,0.155544,0.136527,0.113384,0.0944834,0.0845257,0.077836,0.0694752,0.0588413,0.0469933,0.0359533,0.0269266,0.0199594,0.014565,0.0104499,0.0517489,0.0517486,0.0517485,0.0517484,0.0517483,0.0517482,0.0517481,0.051748,0.0517478,0.0517476
regional_emissions,USA,GtCO2/yr,5.39382,4.04537,2.69691,1.34846,0.789513,0.649695,0.531854,0.430432,0.341586,0.262853,0.195861,0.142273,0.101621,0.072636,0.0549502,0.0495887,0.0582421,0.534749,0.534749,0.534749,0.534749,0.534749,0.534749,0.534749,0.534749,0.534748,0.534748
regional_emissions,MEX,GtCO2/yr,0.572878,0.429658,0.286439,0.250682,0.235195,0.210891,0.184067,0.159748,0.137097,0.114491,0.0904155,0.0650686,0.0402638,0.0171455,-0.00403092,-0.0236268,-0.0413935,6.53385e-05,6.49712e-05,6.47857e-05,6.46547e-05,6.45457e-05,6.4444e-05,6.4339e-05,6.42181e-05,6.40555e-05,6.37559e-05
regional_emissions,RCAM,GtCO2/yr,0.302334,0.22675,0.17846,0.168551,0.16202,0.160842,0.162651,0.164032,0.160314,0.14907,0.13126,0.108711,0.0835612,0.0572772,0.0307014,0.00487109,-0.0188686,0.00480416,0.00480369,0.00480347,0.00480332,0.0048032,0.00480309,0.00480297,0.00480284,0.00480267,0.00480236
regional_emissions,BRA,GtCO2/yr,1.57743,1.18307,0.788715,0.394357,0.239994,0.144849,0.0467655,-0.0371075,-0.0962185,-0.13809,-0.182977,-0.249681,-0.314881,-0.337948,-0.338695,-0.358923,-0.391234,-0.32462,-0.32462,-0.32462,-0.324621,-0.324621,-0.324621,-0.324621,-0.324621,-0.324621,-0.324621
regional_emissions,RSAM,GtCO2/yr,1.38348,1.03761,0.691742,0.345871,0.210142,0.131707,0.0352956,-0.0646913,-0.147359,-0.227477,-0.316076,-0.40805,-0.491884,-0.55561,-0.606378,-0.658249,-0.708413,-0.620088,-0.620088,-0.620088,-0.620088,-0.620088,-0.620089,-0.620089,-0.620089,-0.620089,-0.620089
regional_emissions,NAF,GtCO2/yr,0.583268,0.478177,0.493727,0.494933,0.484956,0.468918,0.462766,0.476895,0.499909,0.519069,0.528519,0.527175,0.522871,0.522555,0.526196,0.532691,0.542011,0.662362,0.662362,0.662362,0.662362,0.662362,0.662361,0.662361,0.662361,0.662361,0.662361
regional_emissions,WAF,GtCO2/yr,1.817,1.91387,2.09024,1.7734,1.41083,1.32023,1.22884,0.939581,0.70372,0.695502,0.775415,0.815644,0.796862,0.723629,0.602147,0.441426,0.266452,0.519759,0.519758,0.519758,0.519758,0.519758,0.519758,0.519758,0.519757,0.519757,0.519757
regional_emissions,EAF,GtCO2/yr,0.283526,0.354374,0.432999,0.42689,0.383506,0.350622,0.332717,0.326441,0.334136,0.358062,0.3998,0.45704,0.520357,0.577527,0.608273,0.605217,0.589969,0.79869,0.79869,0.79869,0.79869,0.79869,0.79869,0.79869,0.79869,0.798689,0.798689
regional_emissions,SAF,GtCO2/yr,0.507151,0.380363,0.253576,0.208334,0.18505,0.170989,0.158463,0.142344,0.12318,0.102475,0.0820123,0.0629942,0.0459679,0.0311935,0.0187166,0.00852852,0.000435941,0.0367497,0.0367494,0.0367492,0.0367491,0.036749,0.0367489,0.0367488,0.0367487,0.0367485,0.0367482
