region,a1,a2,a3,nu1,nu2,nu3,slrdam1,slrdam2
JAPAN,0.00045,0.0007,3.6,800,0.29,1.06,0.00053,0.00053
USA,0.0,0.0015,2.7,44,0.42,0.53,0.0,0.000255
EUROPE,0.0,0.0014,2.5,255,0.35,0.93,0.004517,0.0
OHI,0.0001,0.0013,2.6,435,0.52,0.99,0.006162,0.0
MI,0.0008,0.002,3.0,245,0.55,0.82,0.0,0.000071
RUSSIA,0.0,0.001,2.5,245,0.6,0.81,0.0,0.000042
EE,0.0,0.0011,2.8,70,0.44,0.63,0.000111,0.0
LI,0.0015,0.0016,2.6,452,0.49,1.1,0.0,0.001239
CHINA,0.0005,0.0013,2.6,264,0.47,0.87,0.011718,0.000001
INDIA,0.004,0.0012,3.0,83,0.5,0.85,0.0,0.000255
AFRICA,0.0033,0.0016,2.9,31,0.34,0.71,0.00351,0.0
