region,NoSLR_form,NoSLR_b1,NoSLR_b2,NoSLR_b3,NoSLR_a (q=0.025),NoSLR_a (q=0.05),NoSLR_a (q=0.16),NoSLR_a (q=0.25),NoSLR_a (q=0.5),NoSLR_a (q=0.75),NoSLR_a (q=0.84),NoSLR_a (q=0.95),NoSLR_a (q=0.975),SLR-NoAd_form,SLR-NoAd_b1,SLR-NoAd_b2,SLR-NoAd_b3,SLR-NoAd_a (q=0.025),SLR-NoAd_a (q=0.05),SLR-NoAd_a (q=0.16),SLR-NoAd_a (q=0.25),SLR-NoAd_a (q=0.5),SLR-NoAd_a (q=0.75),SLR-NoAd_a (q=0.84),SLR-NoAd_a (q=0.95),SLR-NoAd_a (q=0.975),SLR-Ad_form,SLR-Ad_b1,SLR-Ad_b2,SLR-Ad_b3,SLR-Ad_a (q=0.025),SLR-Ad_a (q=0.05),SLR-Ad_a (q=0.16),SLR-Ad_a (q=0.25),SLR-Ad_a (q=0.5),SLR-Ad_a (q=0.75),SLR-Ad_a (q=0.84),SLR-Ad_a (q=0.95),SLR-Ad_a (q=0.975),combined_b1_NoAd,combined_b2_NoAd,combined_b1_NoAd-q0.025,combined_b2_NoAd-q0.025,combined_b1_NoAd-q0.05,combined_b2_NoAd-q0.05,combined_b1_NoAd-q0.16,combined_b2_NoAd-q0.16,combined_b1_NoAd-q0.25,combined_b2_NoAd-q0.25,combined_b1_NoAd-q0.33,combined_b2_NoAd-q0.33,combined_b1_NoAd-q0.5,combined_b2_NoAd-q0.5,combined_b1_NoAd-q0.67,combined_b2_NoAd-q0.67,combined_b1_NoAd-q0.75,combined_b2_NoAd-q0.75,combined_b1_NoAd-q0.84,combined_b2_NoAd-q0.84,combined_b1_NoAd-q0.95,combined_b2_NoAd-q0.95,combined_b1_NoAd-q0.975,combined_b2_NoAd-q0.975,combined_b1_Ad,combined_b2_Ad,combined_b1_Ad-q0.025,combined_b2_Ad-q0.025,combined_b1_Ad-q0.05,combined_b2_Ad-q0.05,combined_b1_Ad-q0.16,combined_b2_Ad-q0.16,combined_b1_Ad-q0.25,combined_b2_Ad-q0.25,combined_b1_Ad-q0.33,combined_b2_Ad-q0.33,combined_b1_Ad-q0.5,combined_b2_Ad-q0.5,combined_b1_Ad-q0.67,combined_b2_Ad-q0.67,combined_b1_Ad-q0.75,combined_b2_Ad-q0.75,combined_b1_Ad-q0.84,combined_b2_Ad-q0.84,combined_b1_Ad-q0.95,combined_b2_Ad-q0.95,combined_b1_Ad-q0.975,combined_b2_Ad-q0.975
World,Robust-Quadratic,0.44447,0.86234,,-0.12243,0.05974,0.4976,0.62507,1.00057,1.34664,1.56717,1.90709,2.02625,Robust-Quadratic,4.37575,13.5869,,0.45799,0.56978,0.76508,0.84761,0.99986,1.15136,1.25369,1.50322,1.68765,Robust-Linear,1.84564,,,0.48367,0.65496,0.80549,0.87023,1.00727,1.14999,1.26031,1.46475,1.62267,0.81164,1.33706,0.11807,0.11737,0.23514,0.32112,0.50215,0.79226,0.58948,0.94184,0.65922,1.06434,0.81164,1.33706,0.9509,1.58343,1.02039,1.70648,1.15719,1.94677,1.39972,2.35809,1.52057,2.54859,0.67267,0.89029,0.05503,-0.09239,0.17476,0.06937,0.40344,0.45105,0.47475,0.56274,0.53483,0.6609,0.67267,0.89029,0.7967,1.0917,0.85878,1.19259,0.98176,1.38577,1.17912,1.68447,1.26781,1.79153
I_CAN,Robust-Quadratic,0.47047,0.58282,,0.29427,0.32019,0.42414,0.565,1.00055,1.35681,1.86079,2.11473,2.23062,Robust-Quadratic,1.84552,36.92926,,0.41882,0.55261,0.73644,0.81995,0.99895,1.19867,1.32926,1.57501,1.68732,Robust-Linear,2.64355,,,0.2851,0.41462,0.82647,0.87581,0.99668,1.14528,1.24011,1.37859,1.47907,0.25233,1.71228,0.0465,0.64525,0.02889,0.81165,0.03746,1.08042,0.08565,1.25674,0.10881,1.39298,0.25233,1.71228,0.30018,1.98018,0.37576,2.14391,0.5867,2.58565,0.65265,3.01163,0.68202,3.20533,0.79734,0.61961,0.23196,0.18199,0.28606,0.20189,0.46897,0.27848,0.55171,0.36212,0.6073,0.41322,0.79734,0.61961,0.91273,0.72286,1.0133,0.83084,1.284,1.12833,1.44943,1.28133,1.53632,1.35176
I_CEU,Robust-Quadratic,0.33119,0.62613,,0.13459,0.26619,0.53451,0.70383,1.00125,1.38135,1.56245,2.20183,2.39088,Robust-Quadratic,0.29546,9.63953,,-0.01001,0.05688,0.25564,0.3569,0.99853,2.4158,2.87639,3.65368,4.08519,OLS-Logistic,0.29745,8.43084,16.68993,0.17776,0.18521,0.20161,0.22985,0.54614,1.79288,1.86621,2.09597,2.46533,0.25077,0.91932,0.0452,0.08147,0.08329,0.18352,0.15616,0.41014,0.20397,0.54594,0.22993,0.62875,0.25077,0.91932,0.23068,1.43511,0.26346,1.57237,0.28638,1.81955,0.4363,2.44565,0.46443,2.68944,0.3825,0.63393,0.06186,0.0865,0.10543,0.16903,0.19894,0.33817,0.2583,0.44479,0.29588,0.50621,0.3825,0.63393,0.5925,0.80046,0.64307,0.88886,0.73429,1.0057,0.97581,1.41068,1.06686,1.53253
I_CHN,Robust-Quadratic,1.37458,-0.06432,,-0.72883,-0.41598,0.37495,0.60032,1.00093,1.44087,1.56472,1.76183,1.89776,Robust-Quadratic,10.00897,5.00699,,0.69183,0.71941,0.74976,0.78807,0.99812,1.2263,1.37547,1.5862,1.75556,Robust-Linear,2.51448,,,0.6486,0.66166,0.74651,0.80867,0.99653,1.27581,1.52343,2.12185,2.36103,2.54104,0.22774,-0.20302,0.25864,0.26116,0.24471,1.39095,0.19738,1.7474,0.19325,2.05663,0.19944,2.54104,0.22774,3.12076,0.25592,3.42405,0.26441,3.76454,0.30035,4.29508,0.34907,4.66374,0.39062,1.6866,-0.03376,-0.80827,0.07582,-0.37213,0.05413,0.74929,0.00109,1.079,-0.01254,1.33688,-0.0223,1.68659,-0.03376,2.1472,-0.04557,2.38977,-0.05505,2.63334,-0.05443,3.10201,-0.04679,3.34828,-0.04676
I_EastAsia,Robust-Quadratic,0.9795,0.606,,0.3399,0.44331,0.646,0.74241,1.00061,1.30356,1.54547,1.82482,1.89585,Robust-Quadratic,1.36515,83.90252,,0.51613,0.55861,0.75737,0.87085,1.0003,1.20681,1.34183,1.62683,1.88909,Robust-Linear,3.49632,,,0.30217,0.41411,0.72888,0.8725,0.99824,1.15143,1.19352,1.33178,1.33742,0.13132,3.13467,-0.10505,1.51335,-0.039,1.68178,-0.0106,2.30609,-0.01197,2.65198,0.04354,2.84066,0.13132,3.13467,0.23981,3.54749,0.25516,3.84165,0.37829,4.3295,0.41056,5.21898,0.25693,5.92629,1.41199,0.65314,0.46492,0.22064,0.61471,0.28866,0.94749,0.42586,1.10449,0.49162,1.21058,0.55285,1.41199,0.65314,1.64069,0.78143,1.77774,0.84451,2.0341,0.99237,2.36846,1.16768,2.44094,1.2108
I_FSU,Robust-Quadratic,0.78893,0.25543,,0.05222,0.10622,0.3648,0.56657,0.99905,1.54492,1.7292,2.17098,2.28921,Robust-Quadratic,1.55072,3.2476,,0.34218,0.39033,0.56196,0.66051,0.99894,1.27471,1.38284,1.71938,1.87301,Robust-Linear,0.70036,,,0.54817,0.73517,0.78317,0.87799,1.01952,1.09844,1.26069,1.48766,1.59165,0.94191,0.37266,0.09271,0.05455,0.1428,0.07401,0.37327,0.15974,0.54837,0.2227,0.66405,0.27296,0.94191,0.37266,1.21641,0.4735,1.41445,0.54299,1.58557,0.60545,1.98034,0.75573,2.09688,0.80384,0.8798,0.26258,0.08843,0.01883,0.14735,0.0344,0.35649,0.10012,0.52487,0.15207,0.61486,0.18033,0.8798,0.26258,1.13082,0.3416,1.31812,0.40068,1.48672,0.45156,1.85038,0.56339,1.95323,0.59435
I_INDIA,Robust-Quadratic,2.31782,1.66423,,-0.17824,-0.09273,0.33376,0.4716,1.00028,1.29883,1.49062,1.86108,2.00703,Robust-Linear,3.35043,,,0.28202,0.3488,0.43364,0.52519,0.99575,1.47166,1.59207,1.7738,1.93239,Robust-Linear,1.24502,,,0.64235,0.67918,0.74444,0.80295,0.99338,1.35073,1.53212,2.08472,2.26027,2.73192,1.70926,-0.29828,-0.28199,-0.07216,-0.1367,0.95365,0.57566,1.31146,0.80902,1.69391,1.05405,2.73192,1.70926,3.27116,2.01113,3.62279,2.22975,4.11756,2.55393,5.05105,3.17667,5.45387,3.42583,2.47452,1.67825,-0.31608,-0.28413,-0.11177,-0.14147,0.88915,0.56789,1.21829,0.79779,1.56123,1.03807,2.47452,1.67825,2.90987,1.9676,3.22445,2.18176,3.69744,2.50332,4.64064,3.12723,5.00511,3.37176
I_JAP,Robust-Quadratic,0.07078,0.81882,,0.25389,0.31912,0.55957,0.67435,1.00054,1.34583,1.66611,2.21681,2.36185,Robust-Linear,34.36235,,,0.07707,0.11435,0.3352,0.48952,1.00034,1.34478,1.47597,1.73264,1.93022,Robust-Linear,3.3664,,,0.30496,0.34484,0.70489,0.87141,1.00336,1.14709,1.21017,1.35828,1.37605,4.2831,1.32837,0.34213,0.24724,0.50364,0.3197,1.45064,0.62921,2.10866,0.80209,2.83509,0.97854,4.2831,1.32837,5.23658,1.63565,5.75797,1.78679,6.3327,2.11671,7.45183,2.69834,8.29416,2.91735,0.48281,0.87053,0.14329,0.22329,0.16423,0.27881,0.32936,0.49412,0.406,0.59696,0.43172,0.689,0.48281,0.87053,0.53279,1.06897,0.56587,1.16128,0.61394,1.42775,0.71285,1.88647,0.73012,2.00608
I_Laca,Robust-Quadratic,0.69807,0.63756,,-2.65036,-2.17405,-0.17285,0.21882,1.00068,1.39084,1.8051,2.14901,2.26197,Robust-Quadratic,4.06007,2.68187,,0.28238,0.49046,0.69395,0.78661,1.00082,1.20955,1.29344,1.57397,1.77537,Robust-Linear,1.29019,,,0.49862,0.5607,0.69222,0.80633,0.99098,1.29487,1.47151,1.82606,1.93823,1.16099,0.77977,-1.71336,-1.6537,-1.28543,-1.3203,0.20208,-0.01288,0.51763,0.25042,0.76763,0.45142,1.16099,0.77977,1.36834,0.93379,1.52947,1.05825,1.85867,1.33652,2.2281,1.59549,2.39934,1.69526,0.85284,0.65791,-1.76577,-1.68394,-1.42465,-1.37861,-0.01086,-0.0973,0.27986,0.15519,0.48636,0.34251,0.85284,0.65791,1.03568,0.79822,1.17221,0.91277,1.49043,1.18262,1.78565,1.40891,1.88129,1.48256
I_MiddleEast,Robust-Quadratic,0.99731,0.07628,,-0.18423,-0.01032,0.42804,0.61626,0.99866,1.63149,1.9441,2.39644,2.50836,Robust-Quadratic,4.42647,31.19029,,0.48855,0.55516,0.72604,0.83132,1.00049,1.17519,1.26645,1.47695,1.6151,Robust-Linear,3.1003,,,0.45638,0.56003,0.86276,0.89261,0.99826,1.15793,1.24796,1.42226,1.46323,1.15535,1.0797,-0.10013,0.47275,0.08241,0.55336,0.54587,0.75927,0.75064,0.87879,0.85479,0.94679,1.15535,1.0797,1.5538,1.22323,1.81643,1.30586,2.14044,1.4217,2.6211,1.6681,2.75084,1.81443,1.36799,0.12706,-0.00814,0.00595,0.20269,0.02481,0.75279,0.07447,0.95151,0.09125,1.06568,0.10142,1.36799,0.12706,1.78076,0.16229,2.06066,0.18637,2.40378,0.21592,2.91565,0.26057,3.03798,0.27123
