Model,Scenario,Region,Variable,Unit,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
IMAGE 3.4,SSP1,BRA,Emissions|CO2,Mt CO2/yr,2039.122538,513.6670126,1022.31429,711.2684327,644.7631582,1236.878855,890.8947602,622.3004609,332.2416764,294.2277883
IMAGE 3.4,SSP1,CAN,Emissions|CO2,Mt CO2/yr,658.2110342,640.1658936,627.4561514,424.9124019,279.0168228,245.6425807,236.6760712,245.9912822,248.9903666,241.176768
IMAGE 3.4,SSP1,CEU,Emissions|CO2,Mt CO2/yr,759.1902823,706.4951529,746.6609193,608.9046174,537.9667359,328.4712804,152.0165558,161.4152845,181.708046,104.8036347
IMAGE 3.4,SSP1,CHN,Emissions|CO2,Mt CO2/yr,9428.964926,11400.05518,11406.38053,7966.284506,4532.348226,3048.292196,2275.127503,1536.722402,1172.73054,942.5874533
IMAGE 3.4,SSP1,EAF,Emissions|CO2,Mt CO2/yr,671.7597301,214.2268016,348.3384807,473.1165975,469.3406627,368.198967,354.1738943,375.84581,409.0709203,478.9939169
IMAGE 3.4,SSP1,INDIA,Emissions|CO2,Mt CO2/yr,1766.739716,2226.421306,3595.550924,3527.29775,3113.798503,3013.383667,3205.542155,3378.424235,3318.785401,2889.490214
IMAGE 3.4,SSP1,INDO,Emissions|CO2,Mt CO2/yr,1394.196065,1519.767649,1561.98053,1452.265086,1337.316518,1194.012268,1077.017649,1018.736359,986.1789145,907.9220226
IMAGE 3.4,SSP1,JAP,Emissions|CO2,Mt CO2/yr,1135.648397,921.4795584,829.2771811,557.5940552,416.3683345,346.4326376,336.7947973,403.6406047,347.8499909,210.6685918
IMAGE 3.4,SSP1,KOR,Emissions|CO2,Mt CO2/yr,669.8134919,680.4963176,630.5764771,469.185936,325.69767,234.2626737,180.7258632,162.1403682,147.4770724,136.0793457
IMAGE 3.4,SSP1,ME,Emissions|CO2,Mt CO2/yr,1775.274272,2231.242534,2381.079712,2276.042155,1931.72461,1574.091899,1277.432516,1043.48938,815.1949565,692.7139893
IMAGE 3.4,SSP1,MEX,Emissions|CO2,Mt CO2/yr,500.6569367,404.4586335,550.4645437,528.7069143,408.0420761,286.7897187,162.7539037,94.47727331,49.3929348,11.34253224
