Model,Scenario,Region,Variable,Unit,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
IMAGE,SSP1-Ref-SPA0-V17,BRA,GDP|PPP,billion US$2005/yr,1967.5780029296875,2679.717041015625,3829.077880859375,5331.47705078125,6912.48681640625,8386.9873046875,9572.494140625,10475.83984375,11043.6201171875,11245.4404296875
IMAGE,SSP2-Ref-SPA0-V17,BRA,GDP|PPP,billion US$2005/yr,1967.5780029296875,2697.052001953125,3618.302978515625,4491.94482421875,5378.43505859375,6285.5498046875,7175.703125,8083.65283203125,8970.669921875,9881.1103515625
IMAGE,SSP3-Ref-SPA0-V17,BRA,GDP|PPP,billion US$2005/yr,1967.5780029296875,2714.888916015625,3464.89697265625,3888.867919921875,4152.0439453125,4333.23876953125,4462.93896484375,4575.6728515625,4633.923828125,4679.27294921875
IMAGE,SSP4-Ref-SPA0-V17,BRA,GDP|PPP,billion US$2005/yr,1967.5780029296875,2790.748046875,3693.736083984375,4542.9619140625,5332.31396484375,6085.60302734375,6724.84814453125,7269.02783203125,7699.10498046875,8076.18701171875
IMAGE,SSP5-Ref-SPA0-V17,BRA,GDP|PPP,billion US$2005/yr,1967.5780029296875,2800.527099609375,4239.0771484375,6409.9267578125,8867.890625,11398.099609375,13753.23046875,15917.759765625,17790.919921875,19261.359375
IMAGE,SSP1-Ref-SPA0-V17,CAN,GDP|PPP,billion US$2005/yr,1203.06298828125,1542.4949951171875,1851.198974609375,2244.885009765625,2687.986083984375,3166.47802734375,3734.385986328125,4314.2158203125,4846.68701171875,5334.87890625
IMAGE,SSP2-Ref-SPA0-V17,CAN,GDP|PPP,billion US$2005/yr,1203.06298828125,1536.52197265625,1867.406005859375,2252.552978515625,2655.68408203125,3077.31005859375,3586.656982421875,4136.48681640625,4689.546875,5252.43701171875
IMAGE,SSP3-Ref-SPA0-V17,CAN,GDP|PPP,billion US$2005/yr,1203.06298828125,1493.1669921875,1720.634033203125,2010.5889892578125,2284.490966796875,2472.361083984375,2628.7958984375,2722.074951171875,2767.217041015625,2794.239013671875
IMAGE,SSP4-Ref-SPA0-V17,CAN,GDP|PPP,billion US$2005/yr,1203.06298828125,1523.1419677734375,1847.4200439453125,2265.341064453125,2677.532958984375,3082.4189453125,3543.9970703125,3985.824951171875,4374.658203125,4703.59423828125
IMAGE,SSP5-Ref-SPA0-V17,CAN,GDP|PPP,billion US$2005/yr,1203.06298828125,1577.68896484375,2116.1240234375,3024.2919921875,4189.8740234375,5568.7470703125,7307.04296875,9402.4453125,11783.01953125,14508.1201171875
IMAGE,SSP1-Ref-SPA0-V17,CEU,GDP|PPP,billion US$2005/yr,1929.6700439453125,2494.39501953125,3343.69091796875,4271.47607421875,4999.4658203125,5605.962890625,6188.3759765625,6600.7021484375,6882.826171875,7105.86181640625
IMAGE,SSP2-Ref-SPA0-V17,CEU,GDP|PPP,billion US$2005/yr,1929.6700439453125,2480.989013671875,3181.594970703125,3868.241943359375,4465.2939453125,5049.52490234375,5680.4970703125,6237.291015625,6751.90087890625,7286.35986328125
IMAGE,SSP3-Ref-SPA0-V17,CEU,GDP|PPP,billion US$2005/yr,1929.6700439453125,2451.987060546875,2978.552001953125,3326.949951171875,3499.26904296875,3604.68408203125,3715.615966796875,3756.68896484375,3771.77001953125,3804.64501953125
IMAGE,SSP4-Ref-SPA0-V17,CEU,GDP|PPP,billion US$2005/yr,1929.6700439453125,2522.2099609375,3282.43505859375,4022.93505859375,4580.9951171875,5064.8759765625,5523.5341796875,5817.3408203125,6017.4541015625,6195.48291015625
IMAGE,SSP5-Ref-SPA0-V17,CEU,GDP|PPP,billion US$2005/yr,1929.6700439453125,2574.402099609375,3668.660888671875,5027.6318359375,6332.830078125,7718.71484375,9338.0712890625,11021.16015625,12782.919921875,14757.830078125
IMAGE,SSP1-Ref-SPA0-V17,CHN,GDP|PPP,billion US$2005/yr,11527.8203125,24734.439453125,45782.76171875,67099.5625,81580.796875,87213.828125,87514.3671875,84051.140625,78791.7109375,72480.46875
IMAGE,SSP2-Ref-SPA0-V17,CHN,GDP|PPP,billion US$2005/yr,11527.8203125,24533.529296875,40232.53125,52206.109375,61015.5,66057.09375,69254.7265625,70782.421875,71166.25,71139.328125
IMAGE,SSP3-Ref-SPA0-V17,CHN,GDP|PPP,billion US$2005/yr,11527.8203125,24457.380859375,37272.80078125,43387.48046875,46037.08984375,46124.0,45852.359375,45340.48046875,44771.359375,44581.359375
IMAGE,SSP4-Ref-SPA0-V17,CHN,GDP|PPP,billion US$2005/yr,11527.8203125,25287.75,41693.73046875,54390.62109375,62703.01953125,66010.09375,66376.15625,64245.33984375,60903.37109375,57257.58984375
IMAGE,SSP5-Ref-SPA0-V17,CHN,GDP|PPP,billion US$2005/yr,11527.8203125,25929.0703125,52864.26953125,83285.4765625,105325.6015625,117069.3984375,122982.203125,124396.296875,123421.203125,120588.8984375
IMAGE,SSP1-Ref-SPA0-V17,EAF,GDP|PPP,billion US$2005/yr,318.4859924316406,525.6732788085938,1059.72900390625,2248.382080078125,4454.07177734375,7959.64013671875,12753.33984375,18488.759765625,24701.099609375,30851.390625
IMAGE,SSP2-Ref-SPA0-V17,EAF,GDP|PPP,billion US$2005/yr,318.4859924316406,533.8118896484375,968.8572998046875,1717.8409423828125,3017.381103515625,5135.64599609375,8381.9130859375,13001.4501953125,19128.94921875,26791.189453125
IMAGE,SSP3-Ref-SPA0-V17,EAF,GDP|PPP,billion US$2005/yr,318.4859924316406,541.6370849609375,903.19970703125,1372.863037109375,2049.4951171875,2989.632080078125,4281.31201171875,5974.8271484375,8068.4501953125,10594.4404296875
IMAGE,SSP4-Ref-SPA0-V17,EAF,GDP|PPP,billion US$2005/yr,318.4859924316406,563.9473266601562,911.3115234375,1291.4090576171875,1775.8509521484375,2382.701904296875,3145.611083984375,4073.577880859375,5155.544921875,6418.45703125
IMAGE,SSP5-Ref-SPA0-V17,EAF,GDP|PPP,billion US$2005/yr,318.4859924316406,550.8037109375,1205.4930419921875,2872.302001953125,6136.80908203125,11558.259765625,19356.419921875,29303.98046875,40988.7109375,53785.23828125
IMAGE,SSP1-Ref-SPA0-V17,INDIA,GDP|PPP,billion US$2005/yr,3599.85205078125,6800.93408203125,13070.3798828125,23351.580078125,36293.7109375,50129.19921875,63098.44921875,73524.3125,81187.7421875,85672.9765625
IMAGE,SSP2-Ref-SPA0-V17,INDIA,GDP|PPP,billion US$2005/yr,3599.85205078125,6857.77783203125,12008.16015625,18739.6796875,27088.390625,36864.8203125,47710.73046875,58899.578125,69978.328125,80649.4765625
IMAGE,SSP3-Ref-SPA0-V17,INDIA,GDP|PPP,billion US$2005/yr,3599.85205078125,6910.623046875,11104.01953125,14935.0302734375,18583.439453125,22119.4609375,25714.859375,29303.380859375,32789.1796875,36331.94921875
