Year,BRA,CAN,CEU,CHN,EAF,INDIA,INDO,JAP,KOR,ME,MEX,NAF,OCE,RCAM,RSAF,RSAM,RSAS,RUS,SAF,SEAS,STAN,TUR,UKR,USA,WAF,WEU
1800,0,3.66E-06,0.000406704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000252816,0,0.032135168
1801,0,3.66E-06,0.000443344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000267472,0,0.03127157
1802,0,3.66E-06,0.000450672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000289456,0,0.03956668
1803,0,3.66E-06,0.000461664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000296784,0,0.028776394
1804,0,3.66E-06,0.000458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000333424,0,0.03097409
1805,0,3.66E-06,0.000571584,0,0,0,0,0,0,0,0,0,2.36E-07,0,0,0,0,0,0,0,0,0,0,0.000340752,0,0.030335582
1806,0,3.66E-06,0.000520288,0,0,0,0,0,0,0,0,0,6.61E-07,0,0,0,0,0,0,0,0,0,0,0.000333424,0,0.031846586
1807,0,3.66E-06,0.000377392,0,0,0,0,0,0,0,0,0,6.29E-07,0,0,0,0,0,0,0,0,0,0,0.000377392,0,0.035441576
1808,0,3.66E-06,0.000501968,0,0,0,0,0,0,0,0,0,7.87E-07,0,0,0,0,0,0,0,0,0,0,0.000392048,0,0.03459932
1809,0,3.66E-06,0.000472656,0,0,0,0,0,0,0,0,0,1.26E-06,0,0,0,0,0,0,0,0,0,0,0.00040304,0,0.035453192
1810,0,3.66E-06,0.00056792,0,0,0,0,0,0,0,0,0,1.26E-06,0,0,0,0,0,0,0,0,0,0,0.000417696,0,0.038501772
1811,0,3.66E-06,0.000589904,0,0,0,0,0,0,0,0,0,2.20E-06,0,0,0,0,0,0,0,0,0,0,0.000447008,0,0.039133902
1812,0,3.66E-06,0.000454336,0,0,0,0,0,0,0,0,0,2.20E-06,0,0,0,0,0,0,0,0,0,0,0.000483648,0,0.039870672
1813,0,3.66E-06,0.000381056,0,0,0,0,0,0,0,0,0,2.83E-06,0,0,0,0,0,0,0,0,0,0,0.000520288,0,0.0402983
1814,0,3.66E-06,0.000501968,0,0,0,0,0,0,0,0,0,3.45E-06,0,0,0,0,0,0,0,0,0,0,0.000560592,0,0.041156972
1815,0,3.66E-06,0.000589904,0,0,0,0,0,0,0,0,0,2.75E-06,0,0,0,0,0,0,0,0,0,0,0.000600896,0,0.04239005
1816,0,3.66E-06,0.00067784,0,0,0,0,0,0,0,0,0,2.28E-06,0,0,0,0,0,0,0,0,0,0,0.000663184,0,0.044149608
1817,0,3.66E-06,0.000743792,0,0,0,0,0,0,0,0,0,2.05E-06,0,0,0,0,0,0,0,0,0,0,0.000718144,0,0.04780828
1818,0,3.66E-06,0.000923328,0,0,0,0,0,0,0,0,0,1.89E-06,0,0,0,0,0,0,0,0,0,0,0.000780432,0,0.049682696
1819,0,3.66E-06,0.000758448,0,0,0,0,0,0,0,0,0,3.54E-06,0,0,0,0,0,0,0,0,0,0,0.000762112,0,0.0494024
1820,0,3.66E-06,0.000747456,0,0,0,0,0,0,0,0,0,6.16E-06,0,0,0,0,0,0,0,0,0,0,0.000791424,0,0.049184372
1821,0,3.66E-06,0.000828064,0,0,0,0,0,0,0,0,0,3.15E-06,0,0,0,0,0,0,0,0,0,0,0.000828064,0,0.050396412
1822,0,3.66E-06,0.000908672,0,0,0,0,0,0,0,0,0,3.93E-06,0,0,0,0,0,0,0,0,0,0,0.000864704,0,0.05224074
1823,0,3.66E-06,0.001220112,0,0,0,0,0,0,0,0,0,4.72E-06,0,0,0,0,0,0,0,0,0,0,0.000901344,0,0.054227924
1824,0,3.66E-06,0.001275072,0,0,0,0,0,0,0,0,0,4.72E-06,0,0,0,0,0,0,0,0,0,0,0.001014928,0,0.055285252
1825,0,3.66E-06,0.001326368,0,0,0,0,0,0,0,0,0,2.87E-06,0,0,0,0,0,0,0,0,0,0,0.00113584,0,0.058262124
1826,0,3.66E-06,0.001220112,0,0,0,0,0,0,0,0,0,6.36E-06,0,0,0,0,0,0,0,0,0,0,0.001315376,0,0.05883662
1827,0,3.66E-06,0.001308048,0,0,0,0,0,0,0,0,0,5.90E-06,0,0,0,0,0,0,0,0,0,0,0.00144728,0,0.062973676
1828,0,3.66E-06,0.00120912,0,0,0,0,0,0,0,0,0,3.79E-06,0,0,0,0,0,0,0,0,0,0,0.00159384,0,0.06387138
