Year,BRA,CAN,CEU,CHN,EAF,INDIA,INDO,JAP,KOR,ME,MEX,NAF,OCE,RCAM,RSAF,RSAM,RSAS,RUS,SAF,SEAS,STAN,TUR,UKR,USA,WAF,WEU
1800,0.0025,0.0005,0.035159771,0.33263731,0.026861063,0.200733034,0.017000701,0.028,0.01374,0.014052953,0.0051,0.009530787,0.000820829,0.003109142,0.009849268,0.006776447,0.041775749,0.033661105,0.001447911,0.018385311,0.005324628,0.009761393,0.014283129,0.006,0.033582146,0.114026459
1801,0.002574764,0.000512396,0.035305967,0.334159933,0.02680968,0.20112885,0.017042866,0.028142859,0.01374,0.01409612,0.005165663,0.009583829,0.000718046,0.002714823,0.009878322,0.006735891,0.041801648,0.033661105,0.001453209,0.018323585,0.005324628,0.009776186,0.014283129,0.006113782,0.033588511,0.114793783
1802,0.002651763,0.0005251,0.035453465,0.335707045,0.026819466,0.201525446,0.017085141,0.028286447,0.01374,0.014139468,0.005232171,0.009637986,0.000717012,0.002746668,0.009908017,0.006701951,0.041828258,0.033661105,0.001458526,0.018277726,0.005324628,0.009791003,0.014283129,0.006229723,0.033594905,0.115573842
1803,0.002731066,0.000538119,0.035602276,0.337261369,0.026829616,0.201922822,0.017127527,0.028430767,0.01374,0.014182994,0.005299535,0.009692517,0.00071634,0.002781136,0.009938299,0.006669348,0.04185557,0.033661105,0.001463862,0.018241628,0.005324628,0.009805842,0.014283129,0.006347862,0.033601327,0.116362829
1804,0.00281274,0.00055146,0.035752412,0.33882294,0.026840133,0.202320984,0.017170024,0.028575824,0.01374,0.014226699,0.005367767,0.009747428,0.000716028,0.002818347,0.009969175,0.00663805,0.041883573,0.033661105,0.001469219,0.018215238,0.005324628,0.009820702,0.014283129,0.006468241,0.033607776,0.117160871
1805,0.002896856,0.000565132,0.035903886,0.340391789,0.026851017,0.202719931,0.017212632,0.028721621,0.01374,0.014270583,0.005436878,0.00980272,0.00071607,0.002858439,0.01000066,0.006608021,0.041912258,0.033661105,0.001474594,0.018198514,0.005324628,0.009835586,0.014283129,0.006590903,0.033614256,0.117968089
1806,0.002983488,0.000579143,0.03605671,0.341967952,0.02686227,0.203119662,0.017255352,0.028868162,0.01374,0.014314646,0.005506878,0.009858394,0.000716466,0.002901566,0.010032758,0.006579233,0.041941615,0.033661105,0.001479989,0.018191416,0.005324628,0.009850492,0.014283129,0.006715891,0.033620763,0.118784612
1807,0.003072711,0.000593502,0.036210896,0.343551464,0.026873888,0.203520184,0.017298184,0.02901545,0.01374,0.014358892,0.005577779,0.009914454,0.00071721,0.002947886,0.010065482,0.006551656,0.041971635,0.033661105,0.001485404,0.01819391,0.005324628,0.009865421,0.014283129,0.006843249,0.0336273,0.119610576
1808,0.003164601,0.000608216,0.036366456,0.345142356,0.026885876,0.203921496,0.017341127,0.02916349,0.01374,0.01440332,0.005649593,0.009970904,0.000718301,0.002997575,0.010098847,0.006525259,0.042002307,0.033661105,0.001490839,0.018205975,0.005324628,0.009880372,0.014283129,0.006973023,0.033633866,0.120446105
1809,0.00325924,0.000623296,0.036523405,0.346740666,0.026898235,0.204323597,0.017384183,0.029312285,0.01374,0.01444793,0.005722332,0.010027749,0.000719735,0.003050828,0.010132857,0.006500016,0.042033623,0.033661105,0.001496293,0.018227586,0.005324628,0.009895346,0.014283129,0.007105258,0.033640462,0.121291335
1810,0.003359625,0.000639132,0.036683168,0.349417233,0.026981924,0.204741058,0.017429424,0.029462603,0.01374,0.014492912,0.005796956,0.010086134,0.000762747,0.003586091,0.010168279,0.006501329,0.042068418,0.033661105,0.001502136,0.018311334,0.005324628,0.009910759,0.014283129,0.007302908,0.033647115,0.122550692
1811,0.003460096,0.000654978,0.036842942,0.352104392,0.02693222,0.205163165,0.017477309,0.029612924,0.01374,0.014537893,0.005871592,0.010143079,0.000723964,0.003138934,0.010203552,0.006490857,0.042104012,0.033674867,0.001508101,0.018394699,0.005324628,0.009926565,0.014283129,0.007502686,0.033653982,0.123818156
1812,0.003563572,0.000671216,0.037004143,0.355167577,0.026963109,0.205604563,0.017529957,0.029764012,0.01374,0.014583059,0.005947189,0.010201221,0.000726418,0.003178196,0.010239589,0.006493327,0.042143265,0.033702518,0.001514561,0.018501455,0.005324628,0.009943184,0.014283129,0.007728031,0.033661093,0.125253377
1813,0.003670143,0.000687858,0.037166785,0.35861209,0.027003505,0.20606536,0.017587418,0.029915872,0.01374,0.014628409,0.006023759,0.010259816,0.000729212,0.003213458,0.01027632,0.006502845,0.042186185,0.033744187,0.001521524,0.018631436,0.005324628,0.009960618,0.014283129,0.007980135,0.033668451,0.126861799
1814,0.0037799,0.000704911,0.03733088,0.362090544,0.027053777,0.206545666,0.017649744,0.030068506,0.01374,0.014673946,0.006101316,0.010318872,0.000732341,0.003249604,0.010313759,0.006513167,0.042232781,0.033800003,0.001528996,0.018770061,0.005324628,0.009978873,0.014283129,0.008240464,0.033676055,0.128526622
