region,NoSLR_form,NoSLR_b1,NoSLR_b2,NoSLR_b3,NoSLR_a (q=0.025),NoSLR_a (q=0.05),NoSLR_a (q=0.16),NoSLR_a (q=0.25),NoSLR_a (q=0.33),NoSLR_a (q=0.5),NoSLR_a (q=0.67),NoSLR_a (q=0.75),NoSLR_a (q=0.84),NoSLR_a (q=0.95),NoSLR_a (q=0.975),SLR-NoAd_form,SLR-NoAd_b1,SLR-NoAd_b2,SLR-NoAd_b3,SLR-NoAd_a (q=0.025),SLR-NoAd_a (q=0.05),SLR-NoAd_a (q=0.16),SLR-NoAd_a (q=0.25),SLR-NoAd_a (q=0.33),SLR-NoAd_a (q=0.5),SLR-NoAd_a (q=0.67),SLR-NoAd_a (q=0.75),SLR-NoAd_a (q=0.84),SLR-NoAd_a (q=0.95),SLR-NoAd_a (q=0.975),SLR-Ad_form,SLR-Ad_b1,SLR-Ad_b2,SLR-Ad_b3,SLR-Ad_a (q=0.025),SLR-Ad_a (q=0.05),SLR-Ad_a (q=0.16),SLR-Ad_a (q=0.25),SLR-Ad_a (q=0.33),SLR-Ad_a (q=0.5),SLR-Ad_a (q=0.67),SLR-Ad_a (q=0.75),SLR-Ad_a (q=0.84),SLR-Ad_a (q=0.95),SLR-Ad_a (q=0.975),combined_b1_NoAd,combined_b2_NoAd,combined_b1_NoAd-q0.025,combined_b2_NoAd-q0.025,combined_b1_NoAd-q0.05,combined_b2_NoAd-q0.05,combined_b1_NoAd-q0.16,combined_b2_NoAd-q0.16,combined_b1_NoAd-q0.25,combined_b2_NoAd-q0.25,combined_b1_NoAd-q0.33,combined_b2_NoAd-q0.33,combined_b1_NoAd-q0.5,combined_b2_NoAd-q0.5,combined_b1_NoAd-q0.67,combined_b2_NoAd-q0.67,combined_b1_NoAd-q0.75,combined_b2_NoAd-q0.75,combined_b1_NoAd-q0.84,combined_b2_NoAd-q0.84,combined_b1_NoAd-q0.95,combined_b2_NoAd-q0.95,combined_b1_NoAd-q0.975,combined_b2_NoAd-q0.975,combined_b1_Ad,combined_b2_Ad,combined_b1_Ad-q0.025,combined_b2_Ad-q0.025,combined_b1_Ad-q0.05,combined_b2_Ad-q0.05,combined_b1_Ad-q0.16,combined_b2_Ad-q0.16,combined_b1_Ad-q0.25,combined_b2_Ad-q0.25,combined_b1_Ad-q0.33,combined_b2_Ad-q0.33,combined_b1_Ad-q0.5,combined_b2_Ad-q0.5,combined_b1_Ad-q0.67,combined_b2_Ad-q0.67,combined_b1_Ad-q0.75,combined_b2_Ad-q0.75,combined_b1_Ad-q0.84,combined_b2_Ad-q0.84,combined_b1_Ad-q0.95,combined_b2_Ad-q0.95,combined_b1_Ad-q0.975,combined_b2_Ad-q0.975
World,Robust-Quadratic,0.44474,0.86283,,-0.12236,0.0597,0.49731,0.62471,0.73706,1.0,1.23042,1.34586,1.56626,1.90599,2.02508,Robust-Quadratic,4.34918,13.69535,,0.47012,0.56851,0.76581,0.84942,0.90331,1.0,1.10028,1.14973,1.25542,1.50464,1.68967,Robust-Linear,1.85906,,,0.48018,0.65023,0.79967,0.86394,0.9083,1.0,1.09457,1.14168,1.25121,1.45417,1.61096,0.81164,1.33706,0.11807,0.11737,0.23514,0.32112,0.50215,0.79226,0.58948,0.94184,0.65922,1.06434,0.81164,1.33706,0.9509,1.58343,1.02039,1.70648,1.15719,1.94677,1.39972,2.35809,1.52057,2.54859,0.67267,0.89029,0.05503,-0.09239,0.17476,0.06937,0.40344,0.45105,0.47475,0.56274,0.53483,0.6609,0.67267,0.89029,0.7967,1.0917,0.85878,1.19259,0.98176,1.38577,1.17912,1.68447,1.26781,1.79153
I_CAN,Robust-Quadratic,0.4743,0.58069,,0.29422,0.31979,0.42399,0.56472,0.64952,1.0,1.17068,1.35378,1.8597,2.11387,2.2284,Robust-Quadratic,1.84384,36.88984,,0.41923,0.55316,0.73721,0.82081,0.89769,1.0,1.14917,1.1999,1.33064,1.57666,1.68906,Robust-Linear,2.63477,,,0.28606,0.416,0.82922,0.87873,0.92632,1.0,1.1066,1.1491,1.24424,1.38318,1.484,0.25233,1.71228,0.0465,0.64525,0.02889,0.81165,0.03746,1.08042,0.08565,1.25674,0.10881,1.39298,0.25233,1.71228,0.30018,1.98018,0.37576,2.14391,0.5867,2.58565,0.65265,3.01163,0.68202,3.20533,0.79734,0.61961,0.23196,0.18199,0.28606,0.20189,0.46897,0.27848,0.55171,0.36212,0.6073,0.41322,0.79734,0.61961,0.91273,0.72286,1.0133,0.83084,1.284,1.12833,1.44943,1.28133,1.53632,1.35176
I_CEU,Robust-Quadratic,0.33022,0.62763,,0.13447,0.26594,0.5345,0.7037,0.80049,1.0,1.24027,1.38028,1.56034,2.19977,2.3884,Robust-Quadratic,0.30235,9.59451,,-0.01004,0.05694,0.25601,0.35749,0.43312,1.0,2.25129,2.4206,2.88054,3.65116,4.08106,OLS-Logistic,0.29745,8.43084,16.68993,0.17776,0.18521,0.20161,0.22985,0.26362,0.54614,1.6986,1.79288,1.86621,2.09597,2.46533,0.25077,0.91932,0.0452,0.08147,0.08329,0.18352,0.15616,0.41014,0.20397,0.54594,0.22993,0.62875,0.25077,0.91932,0.23068,1.43511,0.26346,1.57237,0.28638,1.81955,0.4363,2.44565,0.46443,2.68944,0.3825,0.63393,0.06186,0.0865,0.10543,0.16903,0.19894,0.33817,0.2583,0.44479,0.29588,0.50621,0.3825,0.63393,0.5925,0.80046,0.64307,0.88886,0.73429,1.0057,0.97581,1.41068,1.06686,1.53253
I_CHN,Robust-Quadratic,1.37938,-0.07077,,-0.73092,-0.41766,0.37637,0.6015,0.77381,1.0,1.28404,1.44736,1.5686,1.77462,1.8997,Robust-Quadratic,9.9751,5.0497,,0.69314,0.72075,0.75047,0.78999,0.85158,1.0,1.16177,1.22892,1.37807,1.59014,1.75897,Robust-Linear,2.50575,,,0.65086,0.66396,0.74911,0.81148,0.87724,1.0,1.22399,1.28026,1.52874,2.12924,2.36925,2.54104,0.22774,-0.20302,0.25864,0.26116,0.24471,1.39095,0.19738,1.7474,0.19325,2.05663,0.19944,2.54104,0.22774,3.12076,0.25592,3.42405,0.26441,3.76454,0.30035,4.29508,0.34907,4.66374,0.39062,1.6866,-0.03376,-0.80827,0.07582,-0.37213,0.05413,0.74929,0.00109,1.079,-0.01254,1.33688,-0.0223,1.68659,-0.03376,2.1472,-0.04557,2.38977,-0.05505,2.63334,-0.05443,3.10201,-0.04679,3.34828,-0.04676
I_EastAsia,Robust-Quadratic,0.98408,0.60159,,0.34082,0.44427,0.64532,0.7423,0.84261,1.0,1.20854,1.30494,1.54711,1.82666,1.89786,Robust-Quadratic,1.36009,83.94412,,0.51649,0.55842,0.75713,0.87065,0.92131,1.0,1.11344,1.20668,1.34175,1.62651,1.88883,Robust-Linear,3.49017,,,0.3027,0.41484,0.73017,0.87404,0.89128,1.0,1.05486,1.15346,1.19562,1.33412,1.33978,0.13132,3.13467,-0.10505,1.51335,-0.039,1.68178,-0.0106,2.30609,-0.01197,2.65198,0.04354,2.84066,0.13132,3.13467,0.23981,3.54749,0.25516,3.84165,0.37829,4.3295,0.41056,5.21898,0.25693,5.92629,1.41199,0.65314,0.46492,0.22064,0.61471,0.28866,0.94749,0.42586,1.10449,0.49162,1.21058,0.55285,1.41199,0.65314,1.64069,0.78143,1.77774,0.84451,2.0341,0.99237,2.36846,1.16768,2.44094,1.2108
I_FSU,Robust-Quadratic,0.79225,0.25203,,0.05221,0.1063,0.36509,0.56734,0.67856,1.0,1.31151,1.54471,1.73994,2.17436,2.2929,Robust-Quadratic,1.5443,3.26757,,0.34315,0.39143,0.56143,0.66081,0.84505,1.0,1.18513,1.27393,1.38388,1.72197,1.87313,Robust-Linear,0.71403,,,0.53768,0.72109,0.76818,0.86118,0.88268,1.0,1.04828,1.0774,1.23655,1.45917,1.56118,0.94191,0.37266,0.09271,0.05455,0.1428,0.07401,0.37327,0.15974,0.54837,0.2227,0.66405,0.27296,0.94191,0.37266,1.21641,0.4735,1.41445,0.54299,1.58557,0.60545,1.98034,0.75573,2.09688,0.80384,0.8798,0.26258,0.08843,0.01883,0.14735,0.0344,0.35649,0.10012,0.52487,0.15207,0.61486,0.18033,0.8798,0.26258,1.13082,0.3416,1.31812,0.40068,1.48672,0.45156,1.85038,0.56339,1.95323,0.59435
I_INDIA,Robust-Quadratic,2.32289,1.65998,,-0.17828,-0.09275,0.33386,0.47171,0.61587,1.0,1.17165,1.29936,1.49106,1.86079,2.00616,Robust-Linear,3.33617,,,0.28322,0.35029,0.43549,0.52743,0.64376,1.0,1.34354,1.47794,1.59887,1.78138,1.94064,Robust-Linear,1.23678,,,0.64663,0.6837,0.7494,0.8083,0.86151,1.0,1.24148,1.35973,1.54232,2.09861,2.27533,2.73192,1.70926,-0.29828,-0.28199,-0.07216,-0.1367,0.95365,0.57566,1.31146,0.80902,1.69391,1.05405,2.73192,1.70926,3.27116,2.01113,3.62279,2.22975,4.11756,2.55393,5.05105,3.17667,5.45387,3.42583,2.47452,1.67825,-0.31608,-0.28413,-0.11177,-0.14147,0.88915,0.56789,1.21829,0.79779,1.56123,1.03807,2.47452,1.67825,2.90987,1.9676,3.22445,2.18176,3.69744,2.50332,4.64064,3.12723,5.00511,3.37176
I_JAP,Robust-Quadratic,0.06869,0.82064,,0.25361,0.31885,0.55941,0.67463,0.78411,1.0,1.23685,1.34558,1.66646,2.21647,2.36114,Robust-Linear,34.37402,,,0.07705,0.11431,0.33509,0.48935,0.65993,1.0,1.22238,1.34433,1.47547,1.73205,1.92956,Robust-Linear,3.37771,,,0.30394,0.34369,0.70253,0.86849,0.91245,1.0,1.0814,1.14325,1.20612,1.35374,1.37144,4.2831,1.32837,0.34213,0.24724,0.50364,0.3197,1.45064,0.62921,2.10866,0.80209,2.83509,0.97854,4.2831,1.32837,5.23658,1.63565,5.75797,1.78679,6.3327,2.11671,7.45183,2.69834,8.29416,2.91735,0.48281,0.87053,0.14329,0.22329,0.16423,0.27881,0.32936,0.49412,0.406,0.59696,0.43172,0.689,0.48281,0.87053,0.53279,1.06897,0.56587,1.16128,0.61394,1.42775,0.71285,1.88647,0.73012,2.00608
I_Laca,Robust-Quadratic,0.69609,0.63903,,-2.65002,-2.17407,-0.1729,0.21881,0.51141,1.0,1.21305,1.38975,1.80677,2.15031,2.26222,Robust-Quadratic,4.0592,2.69844,,0.2824,0.49024,0.69355,0.7858,0.88545,1.0,1.12701,1.20904,1.29276,1.57301,1.77381,Robust-Linear,1.27856,,,0.50315,0.5658,0.69852,0.81367,0.83174,0.99999,1.2203,1.30665,1.4849,1.84267,1.95586,1.16099,0.77977,-1.71336,-1.6537,-1.28543,-1.3203,0.20208,-0.01288,0.51763,0.25042,0.76763,0.45142,1.16099,0.77977,1.36834,0.93379,1.52947,1.05825,1.85867,1.33652,2.2281,1.59549,2.39934,1.69526,0.85284,0.65791,-1.76577,-1.68394,-1.42465,-1.37861,-0.01086,-0.0973,0.27986,0.15519,0.48636,0.34251,0.85284,0.65791,1.03568,0.79822,1.17221,0.91277,1.49043,1.18262,1.78565,1.40891,1.88129,1.48256
I_MiddleEast,Robust-Quadratic,0.98854,0.08134,,-0.18372,-0.01031,0.42977,0.61931,0.71449,1.0,1.38408,1.63931,1.95178,2.40257,2.51056,Robust-Quadratic,4.44677,31.15491,,0.4885,0.55511,0.72551,0.82979,0.89014,1.0,1.11247,1.17445,1.26502,1.47509,1.61287,Robust-Linear,3.0949,,,0.45718,0.56101,0.86427,0.89417,0.94711,1.0,1.08722,1.15995,1.25014,1.42474,1.46578,1.15535,1.0797,-0.10013,0.47275,0.08241,0.55336,0.54587,0.75927,0.75064,0.87879,0.85479,0.94679,1.15535,1.0797,1.5538,1.22323,1.81643,1.30586,2.14044,1.4217,2.6211,1.6681,2.75084,1.81443,1.36799,0.12706,-0.00814,0.00595,0.20269,0.02481,0.75279,0.07447,0.95151,0.09125,1.06568,0.10142,1.36799,0.12706,1.78076,0.16229,2.06066,0.18637,2.40378,0.21592,2.91565,0.26057,3.03798,0.27123
