region,cold_related_mortality_perc_constant,cold_related_mortality_perc_prod,combined_adapt_eff_cost_param,combined_adapt_eff_max_effectiveness,heat_related_mortality_perc_constant,heat_related_mortality_perc_prod,labourprod_adapt_eff_cost_param,labourprod_adapt_eff_max_effectiveness,labourprod_benefit_cdd_constant,labourprod_benefit_cdd_linear,labourprod_noadapt_ead_constant,labourprod_noadapt_ead_linear,riverine_adapt_eff_cost_param,riverine_adapt_eff_max_effectiveness,riverine_noadapt_ead_constant,riverine_noadapt_ead_linear,riverine_noadapt_ead_quadr,slr_adapt_eff_cost_param,slr_adapt_eff_max_effectiveness,slr_noadapt_ead_constant,slr_noadapt_ead_power,slr_noadapt_ead_prod
BRA,5.374656e-08,-0.0001459206,29.36065,0.2803398,9.997401e-08,0.0001271043,15.3569,0.2205318,-0.0008849455,-0.0003294038,0.001103206,0.01077028,876.1222,0.8067217,0.002875547,0.0002137519,9.085522e-05,5242.887,0.8700087,0.001784983,0.2000001,0.000817304
CAN,4.880749e-08,-0.0001050192,649.0238,0.2954775,9.995266e-08,6.821887e-05,838.5874,0.2270893,0.01334085,-0.03091753,-0.01943722,0.02034915,2630.467,0.8304886,0.002526796,0.0005920188,3.208643e-06,2391.846,0.9585298,0.0001673247,0.9191902,0.004991946
CEU,6.176712e-08,-0.0001181052,277.7969,0.3624606,9.959387e-08,8.753216e-05,377.683,0.2224121,0.006450428,-0.01185855,-0.008647581,0.0099978,717.1315,0.790075,0.0009752655,0.001793427,2.487875e-07,117501.7,0.810718,1.07149e-08,0.59386,0.005133027
CHN,5.473577e-08,-0.0001912345,13.67247,0.388141,9.997399e-08,0.0001822497,14.46631,0.2634122,-0.006483803,-0.009077725,0.002267328,0.01676806,51.35146,0.9230481,-0.00323492,0.005583527,1.164313e-06,763.8689,1,0.0004912137,2.244353,0.02699063
EAF,6.525055e-08,-4.589019e-05,120.966,0.7417671,9.949873e-08,7.076489e-05,2224.936,0.1540473,0.0001698201,-0.001448222,-0.0278375,0.02753394,127.6966,1,-0.0103543,0.04151138,2.307961e-11,1546215,0.6464034,0.0007781818,2.484907,0.001881044
INDIA,5.416546e-08,-0.0001124088,94.99944,0.5749261,9.998067e-08,0.0001854986,34.13735,0.2015598,-0.0001831527,-0.0004416056,-0.006609549,0.01128431,139.3736,0.9636002,-0.006567131,0.01178242,2.200221e-07,3056.361,1,0.0004801181,2.396511,0.01755436
INDO,5.299222e-08,-0.0001290417,269.5166,0.5061852,9.998057e-08,0.000133295,134.2314,0.2036563,-2.943046e-07,-4.070824e-08,-0.009073197,0.0129265,440.8106,0.9489014,-0.00690265,0.009989665,7.759261e-08,10183.09,0.8697204,2.764438e-21,0.5043162,0.04314018
JAP,9.927182e-08,-7.845696e-05,76.11543,0.2283438,2.01259e-11,6.185478e-05,38.02532,0.2299845,0.0003591412,-0.0153623,-0.01020499,0.01761849,1726.48,0.7724705,0.0004499321,0.001033307,1.667161e-06,1031.308,1,0.001147588,1.544057,0.07109071
KOR,6.844129e-08,-0.0001573924,109.3986,0.271366,4.694825e-11,0.0001068108,99.55317,0.2463992,0.01877309,-0.02790997,-0.02925038,0.03170205,2704.312,0.8571177,-0.001028244,0.001402563,2.521806e-06,1204.628,1,4.195655e-07,1.457134,0.07413884
ME,6.643934e-08,-8.165604e-05,23.74167,0.1810162,7.011983e-11,0.0001188681,19.61253,0.1625268,0.001441257,-0.004146253,-0.01187778,0.01895317,787.9778,0.8874979,0.0001228177,0.0004279693,6.028196e-06,31437.84,0.9455895,1.681912e-15,0.480895,0.0222064
