region,NoSLR_b1,NoSLR_b2,NoSLR_a0.05,NoSLR_a0.50,NoSLR_a0.95,NoSLR_b1_0.05,NoSLR_b1_0.50,NoSLR_b1_0.95,NoSLR_b2_0.05,NoSLR_b2_0.50,NoSLR_b2_0.95,slr_b1,slr_b2,slr_a0.05,slr_a0.50,slr_a0.95,slr_b1_0.05,slr_b1_0.50,slr_b1_0.95,slr_b2_0.05,slr_b2_0.50,slr_b2_0.95
BRA,0.364086622,4.407163857,0.584341922,1,1.468373137,0.212751077,0.364086622,0.534615015,2.575290601,4.407163858,6.471361016,2.06051335,1.431371816,0.516495484,0.999999375,1.404666196,1.06424584,2.060512062,2.894333449,0.739297079,1.431370922,2.010599604
CAN,-0.732158341,-0.394786334,1.783704772,0.999999518,0.104678638,-1.305954327,-0.732157989,-0.076641338,-0.704182267,-0.394786144,-0.041325696,0.731400131,3.407293302,0.438869732,0.999999983,1.969628653,0.320989379,0.731400118,1.440586655,1.495357898,3.407293243,6.711102515
CEU,0.000380699,0.534202869,-0.417819801,0.999999861,3.62790404,-0.000159063,0.000380699,0.001381138,-0.223200537,0.534202795,1.938036748,1.742666862,3.497085127,0.361205096,1,1.841367681,0.629460152,1.742666862,3.208890438,1.26316497,3.497085127,6.43941953
CHN,1.896639316,1.387574939,0.535146384,1.000001452,1.446655588,1.014979671,1.89664207,2.743783864,0.742555711,1.387576954,2.007343039,1.170041413,3.411594986,0.443641969,0.999994565,3.004964602,0.519079476,1.170035054,3.51593303,1.513526717,3.411576445,10.25172217
EAF,7.310949351,3.517186477,0.076881755,0.99999447,1.943914084,0.562078615,7.310908925,14.21185741,0.270407468,3.517167028,6.837108328,2.068300889,-5.447676828,0.712913991,0.999999761,1.223699962,1.474520641,2.068300395,2.530979719,-3.883725027,-5.447675527,-6.666321926
INDIA,4.996530758,2.914410897,0.525020411,1.000000002,2.214663111,2.62328063,4.99653077,11.06563236,1.530125206,2.914410904,6.454438305,0.995344434,0.48533043,0.442576382,1.000001135,2.305955492,0.440515939,0.995345564,2.295219965,0.214795786,0.48533098,1.11915037
JAP,1.471227948,0.871104204,0.652981063,1,1.420820257,0.96068399,1.471227948,2.090350471,0.568814549,0.871104204,1.237682499,2.915392513,11.60917203,0.265783323,1.000000067,2.2502364,0.774862711,2.915392709,6.560322353,3.085524323,11.60917281,26.12338147
ME,2.194093962,2.258021453,0.562402378,0.999999998,1.356486389,1.233963662,2.194093957,2.976258595,1.269916634,2.258021448,3.062975366,5.463913044,-4.227605939,0.240476808,1,1.541782547,1.313944366,5.463913044,8.424165773,-1.01664118,-4.227605939,-6.518049054
OCE,3.297285032,0.130918234,0.559449151,1,1.435100578,1.844663311,3.297285032,4.731935657,0.073242095,0.130918234,0.187880833,2.150755385,0.038932883,0.520115095,1,1.396249867,1.118640342,2.150755385,3.00299192,0.02024958,0.038932883,0.054360032
RSAM,4.148888746,0.727769754,0.563496973,1,1.302837873,2.337886251,4.148888746,5.40532939,0.410096054,0.727769754,0.948165999,6.95046547,-6.901562878,0.276967092,1,1.849808557,1.925050211,6.95046547,12.8570305,-1.911505802,-6.901562878,-12.76657007
RSAS,8.767879745,-1.314573031,0.002190559,1,1.822871123,0.01920656,8.767879745,15.9827148,-0.00287965,-1.314573031,-2.396297217,3.507816594,-7.657093464,0.634972586,1,1.574317845,2.227367373,3.507816594,5.522418259,-4.862044437,-7.657093464,-12.05469888
RUS,1.318233578,1.408674446,0.643970067,0.999999199,1.47064591,0.848902965,1.318232522,1.93865482,0.907144177,1.408673317,2.071661312,0.729691613,3.786628903,0.417188525,1.000000064,1.884459947,0.304418967,0.72969166,1.375074618,1.579738125,3.786629145,7.1357505
SAF,2.489060245,1.879088599,0.560028178,0.999999999,1.625267238,1.393943874,2.489060243,4.04538807,1.052342565,1.879088598,3.054021138,0.427499068,2.144435534,0.433385843,1.000000007,1.82176144,0.185272044,0.427499071,0.778801317,0.929368001,2.144435549,3.906649968
SEAS,5.357373062,1.142922879,0.53141605,1.000000088,1.491683856,2.846994031,5.357373534,7.991506909,0.607367562,1.14292298,1.704879608,7.507166206,-6.200768455,0.354522241,1,1.398349904,2.66145739,7.507166206,10.49764514,-2.198310331,-6.200768455,-8.670843973
