region,combined_adapt_eff_cost_param,combined_adapt_eff_max_effectiveness,labourprod_adapt_eff_cost_param,labourprod_adapt_eff_max_effectiveness,labourprod_noadapt_ead_constant,labourprod_noadapt_ead_linear,riverine_adapt_eff_cost_param,riverine_adapt_eff_max_effectiveness,riverine_noadapt_ead_constant,riverine_noadapt_ead_linear,riverine_noadapt_ead_quadr,slr_adapt_eff_cost_param,slr_adapt_eff_max_effectiveness,slr_noadapt_ead_constant,slr_noadapt_ead_power,slr_noadapt_ead_prod
BRA,29.36064932410309,0.2803398089692122,15.356903162766088,0.2205317767947279,0.001103206,0.010770284,876.1222461,0.8067217038248586,0.002875547,0.000213752,9.08552180306774e-05,5242.886785254231,0.8700087220657512,0.001784983,0.2000000968770955,0.000817304
CAN,649.0238090807758,0.29547753953544137,838.5873730137672,0.227089314,-0.019437224,0.020349147,2630.467058292302,0.8304885942948373,0.002526796,0.000592019,3.2086430065311418e-06,2391.845639363563,0.9585297962389026,0.000167325,0.9191902373445224,0.004991946
CEU,277.7969075025566,0.3624605928469787,377.68296122971697,0.2224121054555724,-0.008647581,0.0099978,717.1314968643513,0.7900750049871182,0.000975265,0.001793427,2.487874555367783e-07,117501.68318160932,0.8107180465521614,1.071490199261537e-08,0.5938599515638894,0.005133027
CHN,13.672465155259482,0.3881410124237017,14.466311268015986,0.263412221,0.002267328,0.016768056,51.35145815049728,0.9230481109369963,-0.00323492,0.005583527,1.164313470575392e-06,763.8689049912571,0.9999999999999954,0.000491214,2.2443527106820764,0.026990629
EAF,120.96604106143666,0.7417671376535055,2224.9360268756013,0.1540472815151795,-0.027837502,0.027533945,127.69661367738156,1,-0.010354299,0.041511375,2.307961440325777e-11,1546215.3133280715,0.6464034265050553,0.000778182,2.484906619150673,0.001881044
INDIA,94.99944173728484,0.5749260670301043,34.137353377790326,0.2015598390099642,-0.006609549,0.011284305,139.37356649090054,0.963600249,-0.006567131,0.011782422,2.200220921464221e-07,3056.360549256463,1,0.000480118,2.3965105064034327,0.017554359
INDO,269.5166231381198,0.5061851731974153,134.23136210074065,0.2036562959076931,-0.009073197,0.0129265,440.81056874105144,0.9489014085557342,-0.00690265,0.009989665,7.759260517043242e-08,10183.091878917749,0.8697203504113632,2.7644376071522185e-21,0.5043162346193282,0.043140184
JAP,76.11542696940904,0.22834379101091226,38.02531939,0.2299845262013225,-0.010204992,0.017618486,1726.4796604299656,0.7724704667817323,0.000449932,0.001033307,1.667160845482554e-06,1031.3079232989471,0.9999999999958348,0.001147588,1.5440565832439683,0.071090714
KOR,109.39864638206866,0.27136602942954346,99.55317334635689,0.2463991924313725,-0.029250375,0.031702049,2704.3123665110315,0.8571176855973263,-0.001028244,0.001402563,2.521805572881512e-06,1204.628409,0.9999999999998708,4.195655494730205e-07,1.4571336390279854,0.074138838
ME,23.74167049959674,0.1810162265050326,19.612526277771433,0.162526762,-0.011877777,0.018953167,787.9778042236164,0.8874978604564417,0.000122818,0.000427969,6.028196042312796e-06,31437.84174383341,0.9455894666780704,1.6819118508323936e-15,0.4808949608393776,0.022206395
MEX,128.4093274913354,0.2275839161000409,167.54849247749252,0.1899406314116743,-0.029971761,0.02889801,545.7561555401539,0.7911850828660484,0.003298674,-0.000884518,0.000278464,32190.766488457604,0.9263418120021296,3.762338566283838e-22,0.4952219901839867,0.055627729
NAF,1143.3793255306546,0.43603371821518155,155.09479916975002,0.1851227796270902,0.001674774,0.005677389,2056.255241770182,0.9136912705183008,-7.12E-05,0.00292933,0.000455782,205054.0214696091,0.9590720275352356,0.011437071,0.2000000000000008,0.003468289
OCE,247.8913868170631,0.22059442042659122,249.87269520936428,0.1843704395186618,-0.030124841,0.03159606,2374.433979,0.7615636696817244,0.00456575,-0.001152151,0.0002749,12127.467018192428,0.7244512871212104,0.00081383,0.6149489601833431,0.005345404
