region,init_capital_factor,gdp_ppp_2010_div_gdp_mer_2010
CAN,1.992,0.9984477591668356
USA,2.035,0.9999999940631719
MEX,1.893,1.5291302411093288
RCAM,1.041,1.8928591557257985
BRA,1.973,1.7940020115678772
RSAM,2.005,2.0797509047421885
NAF,1.798,2.4230684688249986
WAF,1.416,2.1864600057005332
EAF,1.66,2.6250456955357118
SAF,2.054,1.6423142575538976
WEU,1.942,0.8915584015020271
CEU,1.665,1.7647511675193275
TUR,1.533,1.5531172946096863
UKR,2.095,2.9740205836590503
STAN,1.281,2.6418914501865016
RUS,1.509,2.2363448337484595
ME,2.026,1.8897241105714133
INDIA,1.859,3.006432413786995
KOR,2.434,1.298128918604876
CHN,2.175,2.2992144076178134
SEAS,2.376,2.366145613183264
INDO,1.714,2.4613524448683552
JAP,2.627,0.85076306468866
OCE,2.176,0.9452449909990005
RSAS,1.745,3.003298815016839
RSAF,2.317,2.1532320292311256
