regio,jaar,type,met_schade,waarde
BRA,2020,gemiddeld,False,17515.7328
BRA,2020,gemiddeld,True,17281.87674824064
BRA,2030,gemiddeld,False,21351.58054531915
BRA,2030,gemiddeld,True,20889.256940291252
BRA,2040,gemiddeld,False,26027.457542812663
BRA,2040,gemiddeld,True,25201.037127017076
BRA,2050,gemiddeld,False,31727.32551133909
BRA,2050,gemiddeld,True,30342.48768766999
BRA,2060,gemiddeld,False,38675.432759679665
BRA,2060,gemiddeld,True,36457.7205976614
BRA,2070,gemiddeld,False,47145.13672493195
BRA,2070,gemiddeld,True,43711.442753277086
BRA,2080,gemiddeld,False,57469.658597581954
BRA,2080,gemiddeld,True,52290.466025865404
BRA,2090,gemiddeld,False,70055.19314945614
BRA,2090,gemiddeld,True,62404.759846876506
BRA,2100,gemiddeld,False,85396.88954084198
BRA,2100,gemiddeld,True,74287.7448154971
BRA,2020,Q1,False,978.1340675385954
BRA,2020,Q2,False,2912.5125738409956
BRA,2020,Q3,False,6201.094194046322
BRA,2020,Q4,False,13202.885216293764
BRA,2020,Q5,False,39313.18873311575
BRA,2030,Q1,False,1192.339970336323
BRA,2030,Q2,False,3550.3365756767425
BRA,2030,Q3,False,7559.099220404354
BRA,2030,Q4,False,16094.243406493373
BRA,2030,Q5,False,47922.55769786886
BRA,2040,Q1,False,1453.4557705766922
BRA,2040,Q2,False,4327.840474853244
BRA,2040,Q3,False,9214.499769859629
BRA,2040,Q4,False,19618.792906552837
BRA,2040,Q5,False,58417.33042557895
BRA,2050,Q1,False,1771.7544740421679
BRA,2050,Q2,False,5275.613389473565
BRA,2050,Q3,False,11232.423802501862
BRA,2050,Q4,False,23915.199080120634
BRA,2050,Q5,False,71210.3998197707
BRA,2060,Q1,False,2159.7588174581488
BRA,2060,Q2,False,6430.943283817905
BRA,2060,Q3,False,13692.261938266063
BRA,2060,Q4,False,29152.49423173081
BRA,2060,Q5,False,86805.08002589615
BRA,2070,Q1,False,2632.7339470159595
BRA,2070,Q2,False,7839.283978276787
BRA,2070,Q3,False,16690.790899852935
BRA,2070,Q4,False,35536.72779740921
BRA,2070,Q5,False,105814.90817876578
BRA,2080,Q1,False,3209.2879907432275
BRA,2080,Q2,False,9556.043426273705
BRA,2080,Q3,False,20345.980972219997
BRA,2080,Q4,False,43319.0728899144
BRA,2080,Q5,False,128987.7826221731
BRA,2090,Q1,False,3912.104152872181
BRA,2090,Q2,False,11648.76361385523
BRA,2090,Q3,False,24801.63727445569
BRA,2090,Q4,False,52805.708132151834
BRA,2090,Q5,False,157235.38726392575
BRA,2100,Q1,False,4768.833132789506
BRA,2100,Q2,False,14199.777845127488
BRA,2100,Q3,False,30233.057444295464
BRA,2100,Q4,False,64369.863556964854
BRA,2100,Q5,False,191669.0597004402
BRA,2020,Q1,True,965.074803976074
BRA,2020,Q2,True,2873.6270359651294
BRA,2020,Q3,True,6118.30214524277
BRA,2020,Q4,True,13026.610855193981
BRA,2020,Q5,True,38788.31048770217
BRA,2030,Q1,True,1166.5223540556588
BRA,2030,Q2,True,3473.4614983846723
BRA,2030,Q3,True,7395.422812705952
BRA,2030,Q4,True,15745.756388584168
BRA,2030,Q5,True,46884.89542317167
BRA,2040,Q1,True,1407.305833715411
BRA,2040,Q2,True,4190.423452124766
BRA,2040,Q3,True,8921.922182570139
BRA,2040,Q4,True,18995.85956915054
BRA,2040,Q5,True,56562.471017180585
BRA,2050,Q1,True,1694.4207382051634
BRA,2050,Q2,True,5045.342830986462
BRA,2050,Q3,True,10742.149722273245
BRA,2050,Q4,True,22871.34581757913
BRA,2050,Q5,True,68102.20038853362
BRA,2060,Q1,True,2035.9147372570203
BRA,2060,Q2,True,6062.18254564095
BRA,2060,Q3,True,12907.125388800237
BRA,2060,Q4,True,27480.842839680237
BRA,2060,Q5,True,81827.53567895624
BRA,2070,Q1,True,2440.9855862977865
BRA,2070,Q2,True,7268.330026115172
BRA,2070,Q3,True,15475.160358162959
BRA,2070,Q4,True,32948.50223509422
BRA,2070,Q5,True,98108.15330297609
BRA,2080,Q1,True,2920.065452663702
BRA,2080,Q2,True,8694.848313302562
BRA,2080,Q3,True,18512.391629824953
BRA,2080,Q4,True,39415.1377352599
BRA,2080,Q5,True,117363.34318923975
BRA,2090,Q1,True,3484.8796952871153
BRA,2090,Q2,True,10376.651082594472
BRA,2090,Q3,True,22093.154673341494
BRA,2090,Q4,True,47039.0186135226
BRA,2090,Q5,True,140064.37125513924
BRA,2100,Q1,True,4148.4632606779305
BRA,2100,Q2,True,12352.551464899405
BRA,2100,Q3,True,26300.087374258976
BRA,2100,Q4,True,55996.09099862099
BRA,2100,Q5,True,166735.13839450545
CAN,2020,gemiddeld,False,55051.6482
CAN,2020,gemiddeld,True,54470.85881665482
CAN,2030,gemiddeld,False,67107.65196731444
CAN,2030,gemiddeld,True,65933.24824015796
CAN,2040,gemiddeld,False,81803.8532871065
CAN,2040,gemiddeld,True,79670.0912921732
CAN,2050,gemiddeld,False,99718.4406910526
CAN,2050,gemiddeld,True,96098.59569793062
CAN,2060,gemiddeld,False,121556.22277297126
CAN,2060,gemiddeld,True,115703.21467381346
CAN,2070,gemiddeld,False,148176.35727589164
CAN,2070,gemiddeld,True,139043.68785360194
CAN,2080,gemiddeld,False,180626.15269446146
CAN,2080,gemiddeld,True,166763.071767979
CAN,2090,gemiddeld,False,220182.27223966955
CAN,2090,gemiddeld,True,199595.30237660333
CAN,2100,gemiddeld,False,268400.96124192374
CAN,2100,gemiddeld,True,238371.61753587032
CAN,2020,Q1,False,10328.16474518382
CAN,2020,Q2,False,21237.17007626825
CAN,2020,Q3,False,34988.90807733852
CAN,2020,Q4,False,57645.330524167584
CAN,2020,Q5,False,118532.54848740855
CAN,2030,Q1,False,12589.975193165652
CAN,2030,Q2,False,25887.991819450635
CAN,2030,Q3,False,42651.28370798515
CAN,2030,Q4,False,70269.33624771376
CAN,2030,Q5,False,144490.51519390906
CAN,2040,Q1,False,15347.109508341347
CAN,2040,Q2,False,31557.317572780248
CAN,2040,Q3,False,51991.6768456472
CAN,2040,Q4,False,85657.92878269841
CAN,2040,Q5,False,176133.13176354283
CAN,2050,Q1,False,18708.040853716586
CAN,2050,Q2,False,38468.19403122162
CAN,2050,Q3,False,63377.56396101456
CAN,2050,Q4,False,104416.53721441767
CAN,2050,Q5,False,214705.30479596005
CAN,2060,Q1,False,22804.99740971447
CAN,2060,Q2,False,46892.51387133478
CAN,2060,Q3,False,77256.89682133758
CAN,2060,Q4,False,127283.17621955005
CAN,2060,Q5,False,261724.5684895489
CAN,2070,Q1,False,27799.164590436838
CAN,2070,Q2,False,57161.712748683865
CAN,2070,Q3,False,94175.72613132122
CAN,2070,Q4,False,155157.48157084093
CAN,2070,Q5,False,319040.78856429586
CAN,2080,Q1,False,33887.026516258346
CAN,2080,Q2,False,69679.8088779888
CAN,2080,Q3,False,114799.68465303502
CAN,2080,Q4,False,189136.10425529446
CAN,2080,Q5,False,388908.9410106038
CAN,2090,Q1,False,41308.09623353331
CAN,2090,Q2,False,84939.29820856951
CAN,2090,Q3,False,139940.17500920748
CAN,2090,Q4,False,230555.85570675065
CAN,2090,Q5,False,474077.82897799637
CAN,2100,Q1,False,50354.33880928356
CAN,2100,Q2,False,103540.53055451692
CAN,2100,Q3,False,170586.29246931372
CAN,2100,Q4,False,281046.3016036455
CAN,2100,Q5,False,577898.2281674064
CAN,2020,Q1,True,10219.203639938605
CAN,2020,Q2,True,21013.12005568063
CAN,2020,Q3,True,34619.778596013406
CAN,2020,Q4,True,57037.17805167067
CAN,2020,Q5,True,117282.04195412125
CAN,2030,Q1,True,12369.646909308205
CAN,2030,Q2,True,25434.944317562662
CAN,2030,Q3,True,41904.87364763819
CAN,2030,Q4,True,69039.6021119654
CAN,2030,Q5,True,141961.8885081604
CAN,2040,Q1,True,14946.797326395026
CAN,2040,Q2,True,30734.18024864331
CAN,2040,Q3,True,50635.53212081697
CAN,2040,Q4,True,83423.63754020954
CAN,2040,Q5,True,171538.896070432
CAN,2050,Q1,True,18028.926664343548
CAN,2050,Q2,True,37071.77328302939
CAN,2050,Q3,True,61076.91669867594
CAN,2050,Q4,True,100626.14822703092
CAN,2050,Q5,True,206911.36099603339
CAN,2060,Q1,True,21706.92253131334
CAN,2060,Q2,True,44634.61002060884
CAN,2060,Q3,True,73536.92895382966
CAN,2060,Q4,True,121154.41173259357
CAN,2060,Q5,True,249122.36693892183
CAN,2070,Q1,True,26085.796917700914
CAN,2070,Q2,True,53638.62015994097
CAN,2070,Q3,True,88371.31988073389
CAN,2070,Q4,True,145594.53904996926
CAN,2070,Q5,True,299377.09789359535
CAN,2080,Q1,True,31286.19278346329
CAN,2080,Q2,True,64331.874401128254
CAN,2080,Q3,True,105988.79378845598
CAN,2080,Q4,True,174619.88342958695
CAN,2080,Q5,True,359060.1287437415
CAN,2090,Q1,True,37445.802854460926
CAN,2090,Q2,True,76997.50182949315
CAN,2090,Q3,True,126855.81478237304
CAN,2090,Q4,True,208998.95920955317
CAN,2090,Q5,True,429751.7082660879
CAN,2100,Q1,True,44720.574532887775
CAN,2100,Q2,True,91956.16749880424
CAN,2100,Q3,True,151500.68866074496
CAN,2100,Q4,True,249602.16686910577
CAN,2100,Q5,True,513241.58744428935
CEU,2020,gemiddeld,False,39779.404
CEU,2020,gemiddeld,True,39398.376978786
CEU,2030,gemiddeld,False,48490.87150671713
CEU,2030,gemiddeld,True,47695.298522410485
CEU,2040,gemiddeld,False,59110.10178737096
CEU,2040,gemiddeld,True,57632.348134372274
CEU,2050,gemiddeld,False,72054.88424412733
CEU,2050,gemiddeld,True,69507.12497702171
CEU,2060,gemiddeld,False,87834.50182695937
CEU,2060,gemiddeld,True,83663.9110732735
CEU,2070,gemiddeld,False,107069.7676100828
CEU,2070,gemiddeld,True,100498.7495874041
CEU,2080,gemiddeld,False,130517.44926682634
CEU,2080,gemiddeld,True,120464.26850524977
CEU,2090,gemiddeld,False,159100.04236821012
CEU,2090,gemiddeld,True,144073.84209846414
CEU,2100,gemiddeld,False,193942.06386777762
CEU,2100,gemiddeld,True,171904.5047273076
CEU,2020,Q1,False,8019.459123195085
CEU,2020,Q2,False,16089.908744699262
CEU,2020,Q3,False,26061.582839555154
CEU,2020,Q4,False,42213.1729197505
CEU,2020,Q5,False,84694.75181168935
