regio,jaar,met_schade,Q1,Q2,Q3,Q4,Q5,gemiddeld
BRA,2020,False,978.1340675385954,2912.5125738409956,6201.094194046322,13202.885216293764,39313.18873311575,17515.7328
BRA,2020,True,965.074803976074,2873.6270359651294,6118.30214524277,13026.610855193981,38788.31048770217,17281.87674824064
BRA,2030,False,1192.339970336323,3550.3365756767425,7559.099220404354,16094.243406493373,47922.55769786886,21351.58054531915
BRA,2030,True,1166.5223540556588,3473.4614983846723,7395.422812705952,15745.756388584168,46884.89542317167,20889.256940291252
BRA,2040,False,1453.4557705766922,4327.840474853244,9214.499769859629,19618.792906552837,58417.33042557895,26027.457542812663
BRA,2040,True,1407.305833715411,4190.423452124766,8921.922182570139,18995.85956915054,56562.471017180585,25201.037127017076
BRA,2050,False,1771.7544740421679,5275.613389473565,11232.423802501862,23915.199080120634,71210.3998197707,31727.32551133909
BRA,2050,True,1694.4207382051634,5045.342830986462,10742.149722273245,22871.34581757913,68102.20038853362,30342.48768766999
BRA,2060,False,2159.7588174581488,6430.943283817905,13692.261938266063,29152.49423173081,86805.08002589615,38675.432759679665
BRA,2060,True,2035.9147372570203,6062.18254564095,12907.125388800237,27480.842839680237,81827.53567895624,36457.7205976614
BRA,2070,False,2632.7339470159595,7839.283978276787,16690.790899852935,35536.72779740921,105814.90817876578,47145.13672493195
BRA,2070,True,2440.9855862977865,7268.330026115172,15475.160358162959,32948.50223509422,98108.15330297609,43711.442753277086
BRA,2080,False,3209.2879907432275,9556.043426273705,20345.980972219997,43319.0728899144,128987.7826221731,57469.658597581954
BRA,2080,True,2920.065452663702,8694.848313302562,18512.391629824953,39415.1377352599,117363.34318923975,52290.466025865404
BRA,2090,False,3912.104152872181,11648.76361385523,24801.63727445569,52805.708132151834,157235.38726392575,70055.19314945614
BRA,2090,True,3484.8796952871153,10376.651082594472,22093.154673341494,47039.0186135226,140064.37125513924,62404.759846876506
BRA,2100,False,4768.833132789506,14199.777845127488,30233.057444295464,64369.863556964854,191669.0597004402,85396.88954084198
BRA,2100,True,4148.4632606779305,12352.551464899405,26300.087374258976,55996.09099862099,166735.13839450545,74287.7448154971
